[19:05:07][Info]: Remember! Quit the server by using 'Control + C' so a backup is properly made before closing!
[19:05:07][LMP]: Luna Server version: 0.29.0 (C:\Servertest\LMPServer 1\LMPServer\)
[19:05:07][Debug]: Loading universe... 0,639KB
[19:05:07][Debug]: Loading groups...
[19:05:07][Debug]: Loading settings...
[19:05:07][Debug]: Loading mod control...
[19:05:08][Debug]: Loading plugins...
[19:05:08][LMP]: Starting 'ZZZwefly' on Address 0.0.0.0 Port 8800... 
[19:19:45][Debug]: Performing backups...
[19:20:13][Debug]: Performing a GarbageCollection
[19:20:15][Debug]: Performing backups...
[19:20:45][Debug]: Performing backups...
[19:21:16][Debug]: Performing backups...
[19:21:46][Debug]: Performing backups...
[19:22:16][Debug]: Performing backups...
[19:22:46][Debug]: Performing backups...
[19:23:16][Debug]: Performing backups...
[19:23:46][Debug]: Performing backups...
[19:24:16][Debug]: Performing backups...
[19:24:47][Debug]: Performing backups...
[19:25:17][Debug]: Performing backups...
[19:25:47][Debug]: Performing backups...
[19:26:17][Debug]: Performing backups...
[19:26:47][Debug]: Performing backups...
[19:27:17][Debug]: Performing backups...
[19:27:23][Debug]: Saving kerbal Bilgas Kerman from 7dxe
[19:27:23][Debug]: Saving kerbal Bilgas Kerman from 7dxe
[19:27:24][Debug]: 7dxe released lock Control - e0545562-77c7-4e88-ac92-b27edb9661ad - 7dxe
[19:27:24][Debug]: 7dxe acquired lock Control - 0f5032fd-4ba9-4842-a575-a5e2ae2c8d58 - 7dxe
[19:27:24][Debug]: 7dxe acquired lock Update - 0f5032fd-4ba9-4842-a575-a5e2ae2c8d58 - 7dxe
[19:27:24][Debug]: 7dxe acquired lock UnloadedUpdate - 0f5032fd-4ba9-4842-a575-a5e2ae2c8d58 - 7dxe
[19:27:25][Debug]: Saving vessel 0f5032fd-4ba9-4842-a575-a5e2ae2c8d58 (14,957 KB) from 7dxe.
[19:27:45][Debug]: Saving kerbal Jebediah Kerman from Micro
[19:27:45][Debug]: Saving kerbal Jebediah Kerman from Micro
[19:27:45][Debug]: Saving vessel d5deaef9-6a54-4ab7-9fa6-151fccdc516f (15,755 KB) from Micro.
[19:27:45][Debug]: Micro released lock Control - 9788b127-f7eb-4843-bdae-0ee13c0f9453 - Micro
[19:27:45][Debug]: Micro acquired lock Control - d5deaef9-6a54-4ab7-9fa6-151fccdc516f - Micro
[19:27:45][Debug]: Micro acquired lock UnloadedUpdate - d5deaef9-6a54-4ab7-9fa6-151fccdc516f - Micro
